id,especie,nome_comum,grupo,ciclo,altura_min,altura_max,habito,origem,precipitacao_min,precipitacao_max,temp_min,temp_max,tolerancia_seca,tolerancia_encharcamento,tolerancia_frio_geada,tolerancia_sombra,tropical,cerrado,subtropical,subtropical_secundario,temperado,subtropical_quente,subtropical_de_altitude,subtropical_umido,subtropical_frio,quente,chuvoso,semiarido,subtropical_semiarido,tropical_altitude,estacao_fria,quente_umido,tropical_umido,temperado_frio,temperado_medio,regioes_frias,tolerancia_acidez,ph_min,ph_max,tolerancia_aluminio,exigencia_fertilidade,drenagem_solo,textura_solo,controle_plantas_daninhas,controle_plantas_pragas_doencas,profundidade_raiz_min,profundidade_raiz_max,produtividade_minima_ms,produtividade_maxima_ms,proteina_min,proteina_max,digestibilidade,biomassa_min,biomassa_max,tolerancia_pastejo,rebrota,persistencia,pastejo,pastagem,consorcio,cobertura_solo,recuperacao_area_degradadas,sistemas_agroflorestais,fenacao,integracao_lavoura_pecuaria,rotacao_culturas,reforma_canaviais,plantio_direto,ILPF,culturas_perenes,fitorremediacao,alimentacao_animal,silagem,capineiras,quebra_vento,consorcio_milho,adubacao_verde,cobertura_vegetal,controle_erosao,controle_nematoides,consorcio_perenes,recuperacao_solos,forragem,preenchimento_devazio_forrageiro,alimentacao_humana,banco_proteinas,producao_oleo,biomassa,rotacao_milho,consorcio_gramineas,reforma_pastagem,graos,sucessao_culturas,consorcio_forrageiras,controle_ervadaninha,controle de nematoides,diversificacao_biologica,aumento_materia_organica ,forragem_ruminantes,incremento_materia_organica,ciclagem_nutrientes,sucessao_milho,sucessao_soja,sucessao_algodao,sucessao_feijao,algodao,mucuna,guandu,cobertura_permanente,forragem_frescca,feno,melhoria_fertilidade_solo,geracao_palhada,consorcio_leguminosas,rotacao_cultura_solos_pobres_acidos,rotacao_cultura_inverno,melhoria_estrutura_solo,descompactacao_solo,protecao_solo,melhoria_quimica_solo,melhoria_fisica_biologica,conservacao_solo,cobertura_morta_SPD,cobertura_inverno,reciclagem_nutrientes,equilibrio_microbiologico_solo,antecessora_milho,forragem_inverno,rotacao_leguminosas,ciclagem_nutrientes,incorporacao_materia_organica,biodisel,racao_animal,controle_doencas_radiculares,producao_graos_malteacao,cultivo_entrelinhas_frutiferas,planta_cobertura,fornecimento_nitrogenio,triticale,crotalaria,graos_seco_alimentacao_animal,forragem_verde,pastejo_consorciado_gramineas,rotacao_soja,rotacao_feijao,rotacao_algodao,controle_biologico_compactacao_solo,materiaprima_biocombustivel,recuperacao_solos_compactados,recuperacao_solos_baixa_retencaohidrica,consorcio_aveia,consorcio_nabo_forrageiro,consorcio_triticale,fornecimento_p_solo,pastejo_direto,fixacao_biologica_nitrogenio,quebra_ciclo_patogenos_leguminosas,quebra_ciclo_patogenos_hortalica,altenativa_milho_regioes_frias,rotacao_cevada,rotacao_trigo,rotacao_centeio,rotacao_triticale,melhoria_estrutura_areacao_solo,aumento_ciclagem_disponibilidade_ N,corte_verde,forragem_pastejo,uso_desmama,uso_maternidade,pre-secado,producao_sementes,recuperacao_pastagem,farinha,revegetacao_areas_contaminadas,producao_fibras,atracao_polinizadores,controle_biologico,medicina_popular,aumento_proteina_pastagem,pecuaria_leiteira,pecuaria_corte,pastagem_consorciada,pastagens_inverno,ovinos,equinos
12,Crotalaria ochroleuca,Crotalária Ocroleuca,leguminosa,anual,1.0,2.5,arbustivo,Africa,NA,NA,NA,NA,alta,baixa,baixa,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,6.5,alta,baixa,boa,arenoso,alta,alta,1.2,2.0,7,10,NA,NA,NA,20,30,nao_aplicavel,NA,baixa,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Crotalaria spectabilis,Crotalária Spectabilis,leguminosa,anual,1,2.5,arbustivo,America do Sul e América do Norte,800,NA,NA,NA,alta,baixa,baixa,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moderada,5.0,7.0,moderada,media,boa,medio,alta,alta,1.2,2.0,10,15,NA,NA,NA,20,30,toxica,NA,baixa,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Zea mays subsp. mexicana,Dente de Burro,graminea,anual,1.5,4.0,cespitoso,Americas,NA,NA,18,NA,moderada,moderada,baixa,baixa,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,baixa,5.5,7.5,baixa,alta,boa,medio-argiloso,moderado,baixa,1.0,1.8,4,6,NA,NA,NA,20,30,media,media,baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Canavalia ensiformis,Feijão de Porco,leguminosa,anual,0.5,1.5,ereto,America Central,NA,NA,28,38,alta,baixa,baixa,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,7.5,alta,baixa,boa,arenoso-medio,alta,alta,1.5,3.0,5,8,NA,NA,NA,35,60,nao_aplicavel,media,baixa,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Cajanus cajan(anao),Feijão Guandu Anão,leguminosa,semi-perene,1.0,4.0,arbustivo,Africa/ Asia,NA,NA,18,30,alta,baixa,NA,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,7.0,alta,baixa,boa,arenoso-medio,alta,moderada,1.0,2.0,3,12,NA,NA,NA,12,45,media,alta,media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cajanus cajan(arboreo),Feijão Guandu Arbóreo,leguminosa,semi-perene,2,3,arbustivo,Africa/Asia,NA,NA,18,30,alta,baixa,NA,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,7.5,alta,baixa,boa,arenoso-medio,alta,moderada,2.0,3.0,4.5,9,20,NA,NA,15,30,media,alta,alta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Helianthus annuus,Girassol,oleaginosa,anual,1.0,3.0,arbustivo,Americas (Peru e América do Norte),NA,NA,NA,NA,alta,baixa,NA,baixa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.0,7.5,baixa,media,bem drenado,NA,NA,NA,1.5,3.0,7,15,NA,NA,NA,40,70,baixa,baixa,baixa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Dolichos lablab,Lab-lab,leguminosa,anual ,0.5,3.0,trepador,Africa ,NA,NA,22,28,moderada,baixa,baixa,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,7.5,moderada,media,boa,arenoso-medio,alta,moderada,1.0,2.0,3,9,20,NA,65,15,30,alta,media,baixa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Leucaena leucocephala,Leucena,leguminosa,perene,2.0,8.0,arbustivo,America Central,600,NA,25,35,alta,baixa,baixa,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.0,8.0,media,alta,bem drenado,NA,NA,NA,2.0,5.0,1,15,20,NA,65,30,NA,alta,alta,alta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Pennisetum glaucum,Milheto,graminea,anual,1.0,4.0,cespitoso,Africa,NA,NA,NA,NA,alta,baixa,NA,baixa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,7.5,alta,media,boa,arenoso,alta,moderada,1.5,3.0,6,20,7,20,"60,5",50,60,media,media,baixa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Zea mays,Milho,graminea,anual,1.0,4.0,ereto,America Central,600,NA,22,28,moderada,baixa,baixa,baixa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.5,7.5,baixa,alta,boa,medio-argiloso,moderada,baixa,1.0,2.0,5,20,16,NA,60,31,44,baixa,baixa,baixa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Mucuna cinereum,Mucuna Cinza,leguminosa,anual,0.5,3.0,trepador,India / Asia tropical,NA,NA,28,38,moderada,NA,NA,moderada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,6.5,moderada,baixa,boa,arenoso,alta,alta,1.0,2.0,7,8,NA,NA,NA,40,50,nao_aplicavel,nula,baixa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Mucuna aterrima,MucunaPreta,leguminosa,anual,0.5,3,trepador,Africa,800,1500,20,35,alta,baixa,baixa,baixa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,6.5,moderada,baixa,boa,arenoso-medio,alta,alta,1.0,2.5,6,9,18,25,60,40,50,baixa,alta,media,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mucuna pruriens,MucunaVerde,leguminosa,anual,0.5,2,trepador,Africa,800,1500,20,35,alta,baixa,NA,Baixa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,6.5,moderada,baixa,boa,arenoso,sim,SIM,1.0,2.0,6,8,18,22,60,35,50,baixa,media,baixa,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
